Isolate name,Standardized name,Isolation,Ecological origins,Geographical origins,Ploidy,CladesOrg,Abbreviation,VcfName,Clades
SJ5L17,AMS,Probiotic,Probiotic,Austria,2,1. Wine/European ,01.W,AMS.variant,1.Wine/European
SJ5L18,AMT,Probiotic,Probiotic,Austria,2,1. Wine/European (subclade 3),01.W3,AMT.variant,1.Wine/European(subclade3)
DBVPG6696,ANA,Banana wine,Wine,Burundi,2,M3. Mosaic region 3,M3.M,ANA.variant,M3.Mosaicregion3
YPS129,ANC,Flux from Quercus alba,Tree,"Pennsylvania, USA",2,23. North American oak ,23.N,ANC.variant,23.NorthAmericanoak
YPS133,AND,Soil beneath Quercus alba,Soil,"Pennsylvania, USA",2,23. North American oak ,23.N,AND.variant,23.NorthAmericanoak
YPS134,ANE,Soil beneath Quercus velutina,Soil,"Pennsylvania, USA",2,23. North American oak ,23.N,ANE.variant,23.NorthAmericanoak
YPS139,ANF,Soil beneath unidentified Quercus sp.,Soil,"Pennsylvania, USA",2,23. North American oak ,23.N,ANF.variant,23.NorthAmericanoak
YPS141,ANG,Soil beneath Quercus velutina,Soil,"Pennsylvania, USA",2,23. North American oak ,23.N,ANG.variant,23.NorthAmericanoak
YPS142,ANH,Bark of q.rubra,Nature,"Pennsylvania, USA",2,23. North American oak ,23.N,ANH.variant,23.NorthAmericanoak
YPS143,ANI,Soil beneath(q.rubra),Soil,"Pennsylvania, USA",2,23. North American oak ,23.N,ANI.variant,23.NorthAmericanoak
YPS154,ANK,Bark of q.velutina,Tree,"Pennsylvania, USA",2,23. North American oak ,23.N,ANK.variant,23.NorthAmericanoak
A-6,ANL,Sorghum beer,Beer,Ghana,4,6. African beer ,06.A,ANL.variant,6.Africanbeer
A-18,ANM,Sorghum beer,Beer,Ghana,4,6. African beer ,06.A,ANM.variant,6.Africanbeer
AY529516,ANN,Cocoa bean fermentation,Fermentation,Ghana,2,12. West African cocoa ,12.W,ANN.variant,12.WestAfricancocoa
UWOPS83-883-2,ANP,"Drosophila sp. from Opuntia stricta,",Insect,Navassa Island,2,8. Mixed origin ,08.M,ANP.variant,8.Mixedorigin
L-1191,ANQ,Wine,Wine,"Valle de Ica, Peru",2,1. Wine/European ,01.W,ANQ.variant,1.Wine/European
RIB0001,ANR,Sake,Sake,Japan,2,25. Sake ,25.S,ANR.variant,25.Sake
RIB0002,ANS,Sake,Sake,Japan,2,25. Sake ,25.S,ANS.variant,25.Sake
RIB0003,ANT,Sake,Sake,Japan,2,25. Sake ,25.S,ANT.variant,25.Sake
RIB0004,ANV,Sake,Sake,Japan,2,25. Sake ,25.S,ANV.variant,25.Sake
RIB0005,APA,Sake,Sake,Japan,2,25. Sake ,25.S,APA.variant,25.Sake
RIB1001,APC,Sake,Sake,Japan,2,25. Sake ,25.S,APC.variant,25.Sake
RIB1002,APD,Sake,Sake,Japan,2,25. Sake ,25.S,APD.variant,25.Sake
RIB1003,APE,Sake,Sake,Japan,2,25. Sake ,25.S,APE.variant,25.Sake
RIB1004,APF,Sake,Sake,Japan,2,25. Sake ,25.S,APF.variant,25.Sake
VF8_(6),APG,"Bioethanol, Sao Joao sugar mill",Bioethanol,"Araras, Sao Paulo, Brazil",1,3. Brazilian bioethanol ,03.B,APG.variant,3.Brazilianbioethanol
M1.1,APH,"Cachaça, Muller Industrial",Distillery,"Pirassununga, Sao Paulo, Brazil",2,3. Brazilian bioethanol ,03.B,APH.variant,3.Brazilianbioethanol
YS20,API,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,Korea,2,8. Mixed origin ,08.M,API.variant,8.Mixedorigin
YS10(E),APK,Baker's yeast,Bakery,South Africa,3,8. Mixed origin ,08.M,APK.variant,8.Mixedorigin
YS11(E),APL,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,Turkey,2,8. Mixed origin ,08.M,APL.variant,8.Mixedorigin
YS15,APM,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,Korea,2,8. Mixed origin ,08.M,APM.variant,8.Mixedorigin
YS19,APN,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,Philippines,3,8. Mixed origin ,08.M,APN.variant,8.Mixedorigin
CBS382,APP,Beer,Beer,"Brazil, Rio de Janeiro",3,7. Mosaic beer ,07.M,APP.variant,7.Mosaicbeer
CBS400,APQ,"Palm wine, from Elaeis guineensis",Palm wine,Ivory Coast,2,13. African palm wine ,13.A,APQ.variant,13.Africanpalmwine
CBS403,APR,"Ginger beer, from Zingiber officinale",Beer,West Africa,2,13. African palm wine ,13.A,APR.variant,13.Africanpalmwine
CBS423,APS,Wine,Wine,Switzerland,2,1. Wine/European ,01.W,APS.variant,1.Wine/European
CBS459,APT,Grape must,Wine,Italy,2,1. Wine/European ,01.W,APT.variant,1.Wine/European
CBS1250,APV,Cherry wine,Wine,Spain,2,1. Wine/European ,01.W,APV.variant,1.Wine/European
CBS4903,AQA,Alpechin (waste from olive oil production),Industrial,Spain,2,2. Alpechin ,02.A,AQA.variant,2.Alpechin
CBS5112,AQB,Grape must,Wine,Spain,2,1. Wine/European ,01.W,AQB.variant,1.Wine/European
CBS5155,AQC,Fermenting Grape must,Wine,South Armenia,2,1. Wine/European (subclade 4),01.W4,AQC.variant,1.Wine/European(subclade4)
CBS5378,AQD,Alpechin (waste from olive oil production),Industrial,Spain,2,2. Alpechin ,02.A,AQD.variant,2.Alpechin
CBS6006,AQE,Wine,Wine,Spain,2,1. Wine/European (subclade 4),01.W4,AQE.variant,1.Wine/European(subclade4)
CBS7539,AQG,Turbid beer,Beer,"Plovdiv, Bulgaria",2,7. Mosaic beer ,07.M,AQG.variant,7.Mosaicbeer
CBS7957,AQH,Factory producing cassava flour,Industrial,"Sao Paulo, Brazil",3,7. Mosaic beer ,07.M,AQH.variant,7.Mosaicbeer
CBS8292,AQI,Seawater,Water,Sweden,2,8. Mixed origin ,08.M,AQI.variant,8.Mixedorigin
CBS420,AQM,Stracchino cheese,Dairy,Italy,2,5. French dairy ,05.F,AQM.variant,5.Frenchdairy
CBS435,AQN,Moto (sake yeast starter),Sake,Japan,2,25. Sake ,25.S,AQN.variant,25.Sake
CBS462,AQP,Grape must,Wine,Spain,2,1. Wine/European (subclade 4),01.W4,AQP.variant,1.Wine/European(subclade4)
CBS1175,AQQ,Wine,Wine,Switzerland,2,1. Wine/European ,01.W,AQQ.variant,1.Wine/European
CBS1190,AQR,Wine,Wine,Germany,2,1. Wine/European ,01.W,AQR.variant,1.Wine/European
CBS1196,AQS,Arak Distillery,Distillery,Indonesia,2,26. Asian fermentation ,26.A,AQS.variant,26.Asianfermentation
CBS1230,AQT,Beer,Beer,Belgium,3,11. Ale beer ,11.A,AQT.variant,11.Alebeer
CBS1239,ARA,Distillery,Distillery,NA,4,M3. Mosaic region 3,M3.M,ARA.variant,M3.Mosaicregion3
CBS1254,ARB,Bakery,Bakery,NA,4,M3. Mosaic region 3,M3.M,ARB.variant,M3.Mosaicregion3
CBS1257,ARC,Wine,Wine,Germany,2,1. Wine/European ,01.W,ARC.variant,1.Wine/European
CBS1398,ARE,Leaf of Eucalyptus sp.,Tree,NA,2,7. Mosaic beer ,07.M,ARE.variant,7.Mosaicbeer
CBS1576,ARG,Exudate of Arenga sp.,Tree,"Celebes, Sulavesi, Indonesia",2,24. Asian islands ,24.A,ARG.variant,24.Asianislands
CBS1592,ARH,Fermenting cacao,Fermentation,"Java, Indonesia",2,24. Asian islands ,24.A,ARH.variant,24.Asianislands
CBS1593,ARI,Fermenting cacao,Fermentation,"Java, Indonesia",2,24. Asian islands ,24.A,ARI.variant,24.Asianislands
CBS1602,ARK,Must of Blanchard pears,Fruit,NA,2,1. Wine/European ,01.W,ARK.variant,1.Wine/European
CBS2087,ARL,Lychee flower,Flower,China,2,1. Wine/European ,01.W,ARL.variant,1.Wine/European
CBS2188,ARM,Fruit of Eryobotrya japonica,Fruit,Japan,2,25. Sake ,25.S,ARM.variant,25.Sake
CBS2246,ARN,Sputum,"Human, clinical",Netherlands,3,5. French dairy ,05.F,ARN.variant,5.Frenchdairy
CBS2270,ARP,Japanese wine,Wine,Japan,2,25. Sake ,25.S,ARP.variant,25.Sake
CBS2271,ARQ,Wine,Wine,Belgium,2,1. Wine/European ,01.W,ARQ.variant,1.Wine/European
CBS2272,ARR,Butter milk,Dairy,"Delft, Netherlands",2,5. French dairy ,05.F,ARR.variant,5.Frenchdairy
CBS2421,ARS,Japanese kefyr grains,Nature,NA,2,5. French dairy ,05.F,ARS.variant,5.Frenchdairy
CBS2808,ART,Wine,Wine,Slovakia,2,1. Wine/European (subclade 4),01.W4,ART.variant,1.Wine/European(subclade4)
CBS2965,ARV,Distillery,Distillery,Denmark,2,1. Wine/European ,01.W,ARV.variant,1.Wine/European
CBS4092,ASA,Film on white wine,Wine,Spain,3,1. Wine/European (subclade 4),01.W4,ASA.variant,1.Wine/European(subclade4)
CBS4255,ASB,Sputum,"Human, clinical",NA,2,7. Mosaic beer ,07.M,ASB.variant,7.Mosaicbeer
CBS4455,ASC,Kaffir beer,Beer,South Africa,3,6. African beer ,06.A,ASC.variant,6.Africanbeer
CBS4507,ASD,"Brewer's yeast, English top yeast",Beer,NA,2,1. Wine/European ,01.W,ASD.variant,1.Wine/European
CBS4667,ASE,Grapes,Wine,Former Czechoslovakia,2,1. Wine/European ,01.W,ASE.variant,1.Wine/European
CBS1489,ASG,Tubercular lung,"Human, clinical",Italy,2,1. Wine/European ,01.W,ASG.variant,1.Wine/European
CLIB227,ASH,Beer holland,Beer,Netherlands,4,11. Ale beer ,11.A,ASH.variant,11.Alebeer
CLIB340,ASL,Bakery levain,Bakery,"Anatolia, Turkey",2,8. Mixed origin ,08.M,ASL.variant,8.Mixedorigin
CLIB409,ASM,Sugar cane (plant),Nature,Vietnam,3,Unclustered,unk,ASM.variant,Unclustered
CLIB630,ASN,Dairy cheese (camembert),Dairy,"Normandy, France",2,5. French dairy ,05.F,ASN.variant,5.Frenchdairy
B1,ASP,Unknown,Unknown,France,2,8. Mixed origin ,08.M,ASP.variant,8.Mixedorigin
M1,ASR,Vineyard,Wine,Italy,2,1. Wine/European ,01.W,ASR.variant,1.Wine/European
M5,ASS,Vineyard,Wine,Italy,2,1. Wine/European ,01.W,ASS.variant,1.Wine/European
M6,AST,Vineyard,Wine,Italy,2,M1. Mosaic region 1 ,M1.M,AST.variant,M1.Mosaicregion1
M9,ASV,Vineyard,Wine,Italy,2,M1. Mosaic region 1,M1.M,ASV.variant,M1.Mosaicregion1
PR,ATA,Vineyard,Wine,France,2,1. Wine/European ,01.W,ATA.variant,1.Wine/European
Y1,ATB,Mushroom,Nature,NA,3,M3. Mosaic region 3,M3.M,ATB.variant,M3.Mosaicregion3
YJM308,ATC,Clinical,"Human, clinical",NA,2,M3. Mosaic region 3,M3.M,ATC.variant,M3.Mosaicregion3
YJM339,ATD,Clinical,"Human, clinical",NA,2,M3. Mosaic region 3,M3.M,ATD.variant,M3.Mosaicregion3
YJM627,ATE,Seg. Y55,Unknown,France,2,M3. Mosaic region 3,M3.M,ATE.variant,M3.Mosaicregion3
UC4,ATH,Vineyard,Wine,Germany,2,1. Wine/European ,01.W,ATH.variant,1.Wine/European
UC10,ATM,Wine,Wine,"California, USA",2,1. Wine/European ,01.W,ATM.variant,1.Wine/European
Y4,ATN,Fruit,Fruit,Indonesia,2,1. Wine/European ,01.W,ATN.variant,1.Wine/European
Y5,ATP,Bili wine,Palm wine,West Africa,2,13. African palm wine ,13.A,ATP.variant,13.Africanpalmwine
CECT10497,ATQ,Alpechin (waste from olive oil production),Industrial,Spain,2,2. Alpechin ,02.A,ATQ.variant,2.Alpechin
CECT10120,ATR,Fruit,Fruit,Spain,2,8. Mixed origin ,08.M,ATR.variant,8.Mixedorigin
CECT10131,ATS,Flower,Flower,Spain,2,8. Mixed origin ,08.M,ATS.variant,8.Mixedorigin
CECT1462,ATV,Beer,Beer,UK,4,11. Ale beer ,11.A,ATV.variant,11.Alebeer
CECT10266,AVB,Tanning liquor,Industrial,Spain,1,2. Alpechin ,02.A,AVB.variant,2.Alpechin
CECT10711,AVC,Sake,Sake,Japan,2,25. Sake ,25.S,AVC.variant,25.Sake
CECT10712,AVD,Sake,Sake,Japan,2,25. Sake ,25.S,AVD.variant,25.Sake
CECT1478,AVH,Wine,Wine,Hungary,2,1. Wine/European ,01.W,AVH.variant,1.Wine/European
YPS163,AVI,Soil beneath Quercus rubra,Soil,Pennsylvanian,2,23. North American oak ,23.N,AVI.variant,23.NorthAmericanoak
L-1194,AVK,Wine,Wine,"Valle de Ica, Peru",2,1. Wine/European ,01.W,AVK.variant,1.Wine/European
RIB6008,AVL,Sake,Sake,Japan,2,25. Sake ,25.S,AVL.variant,25.Sake
RIB6009,AVM,Sake,Sake,Japan,2,25. Sake ,25.S,AVM.variant,25.Sake
CH02,AVN,Pearl millet beer,Beer,"Abengourou, Ivory Coast",4,6. African beer ,06.A,AVN.variant,6.Africanbeer
CH06,AVP,Pearl millet beer,Beer,"Abengourou, Ivory Coast",5,6. African beer ,06.A,AVP.variant,6.Africanbeer
CH10,AVQ,Pearl millet beer,Beer,"Abengourou, Ivory Coast",5,6. African beer ,06.A,AVQ.variant,6.Africanbeer
CH11,AVR,Pearl millet beer,Beer,"Abengourou, Ivory Coast",5,6. African beer ,06.A,AVR.variant,6.Africanbeer
CH14,AVS,Pearl millet beer,Beer,"Abengourou, Ivory Coast",5,6. African beer ,06.A,AVS.variant,6.Africanbeer
CH13,AVT,Pearl millet beer,Beer,"Abengourou, Ivory Coast",5,6. African beer ,06.A,AVT.variant,6.Africanbeer
DJ65,AVV,Palm wine,Palm wine,"Yoboki, Djibouti",3,13. African palm wine ,13.A,AVV.variant,13.Africanpalmwine
DJ66,BAA,Palm wine,Palm wine,"Yoboki, Djibouti",3,13. African palm wine ,13.A,BAA.variant,13.Africanpalmwine
DJ68,BAB,Palm wine,Palm wine,"Yoboki, Djibouti",3,13. African palm wine ,13.A,BAB.variant,13.Africanpalmwine
DJ70,BAC,Palm wine,Palm wine,"Yoboki, Djibouti",3,13. African palm wine ,13.A,BAC.variant,13.Africanpalmwine
DJ71,BAD,Palm wine,Palm wine,"Yoboki, Djibouti",3,13. African palm wine ,13.A,BAD.variant,13.Africanpalmwine
DJ73,BAE,Palm wine,Palm wine,"Yoboki, Djibouti",3,13. African palm wine ,13.A,BAE.variant,13.Africanpalmwine
DJ74,BAF,Palm wine,Palm wine,"Yoboki, Djibouti",2,13. African palm wine ,13.A,BAF.variant,13.Africanpalmwine
SX1,BAG,Bark from tree in Fagaceae family ,Tree,"Qinling Mountain, Shaanxi province, China",2,15. CHNII ,15.C,BAG.variant,15.CHNII
SX3,BAH,Bark from Carya sp.,Tree,"Qinling Mountain, Shaanxi province, China",2,15. CHNII ,15.C,BAH.variant,15.CHNII
BJ6,BAI,Persimmon,Fruit,"Changping, Beijing, China",2,18. Far East Asia ,18.F,BAI.variant,18.FarEastAsia
BJ20,BAK,Bark from Quercus wutaishanica,Tree,"Dongling Mountain, Beijing, China",2,18. Far East Asia ,18.F,BAK.variant,18.FarEastAsia
HN6,BAL,Rotten wood,Nature,"Bawangling Mountain, Hainan province, China",2,16. CHNI,16.C,BAL.variant,16.CHNI
HN10,BAM,Rotten wood,Nature,"Wuzhi Mountain, Hainan province, China",2,14. CHNIII ,14.C,BAM.variant,14.CHNIII
HN15,BAN,Rotten wood,Nature,"Wuzhi Mountain, Hainan province, China",2,20. CHN V ,20.C,BAN.variant,20.CHNV
HN16,BAP,Soil,Soil,"Wuzhi Mountain, Hainan province, China",2,20. CHN V ,20.C,BAP.variant,20.CHNV
HN19,BAQ,Bark from tree in Fagaceae family ,Tree,"Wuzhi Mountain, Hainan province, China",2,14. CHNIII ,14.C,BAQ.variant,14.CHNIII
PB56,BAR,"Bark from Quercus sp. (Oak 1), next to vineyard",Tree,Montalcino in Italy,2,1. Wine/European ,01.W,BAR.variant,1.Wine/European
PB67,BAS,Soil beneath grape vine,Soil,Montalcino in Italy,2,1. Wine/European ,01.W,BAS.variant,1.Wine/European
PB94,BAT,"Soil by trunk of Quercus sp. (Oak 1), next to vineyard",Soil,Montalcino in Italy,2,1. Wine/European ,01.W,BAT.variant,1.Wine/European
PB137,BAV,Bark of grape vine ,Wine,Montalcino in Italy,2,1. Wine/European ,01.W,BAV.variant,1.Wine/European
PB197,BBA,"Litter by trunk of Quercus sp. (Oak 4), next to vineyard",Soil,Montalcino in Italy,2,1. Wine/European ,01.W,BBA.variant,1.Wine/European
PB200,BBB,"Soil by trunk of Quercus sp. (Oak K), next to vineyard",Soil,Montalcino in Italy,2,1. Wine/European ,01.W,BBB.variant,1.Wine/European
CCY_21-4-88,BBC,Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.,Fruit,"Laksarska Nova Ves, Slovakia",3,8. Mixed origin ,08.M,BBC.variant,8.Mixedorigin
CCY_21-4-97,BBD,Fish pond water,Water,"Jakubov, Slovakia",2,8. Mixed origin ,08.M,BBD.variant,8.Mixedorigin
CCY_21-4-98,BBE,Sediment of fresh water lake,Water,"Jakubov, Slovakia",2,8. Mixed origin ,08.M,BBE.variant,8.Mixedorigin
CCY_21-4-102,BBF,River water (Danube),Water,"Bratislava, Slovakia",2,8. Mixed origin ,08.M,BBF.variant,8.Mixedorigin
CCY_21-4-106,BBG,River water (Morava),Water,"Devinska Nova Ves, Slovakia",4,11. Ale beer ,11.A,BBG.variant,11.Alebeer
CCY_21-4-119,BBH,Blossoms of pear tree (Pyrus communis),Flower,"Male Levare, Slovakia",2,1. Wine/European (subclade 1),01.W1,BBH.variant,1.Wine/European(subclade1)
CCY_21-4-120,BBI,"Blossoms of plum tree (Prunus domestica L., 'Stanley')",Flower,"Male Levare, Slovakia",2,1. Wine/European (subclade 1),01.W1,BBI.variant,1.Wine/European(subclade1)
CCY_21-4-121,BBK,"Blossoms of apricot tree (Prunus armeniaca L., Madraska)",Flower,"Male Zaluzie, Slovakia",2,1. Wine/European (subclade 1),01.W1,BBK.variant,1.Wine/European(subclade1)
IMB-53,BBL,"Beetle Mimela aurata (Coleoptera, Rutelinae)",Insect,"Platanus orientalis forest, in Belasista Mountain, near Kamena Village in Bulgaria",2,M3. Mosaic region 3,M3.M,BBL.variant,M3.Mosaicregion3
908,BBM,Raicilla (Mexican distilled spirit),Distillery,"Jalisco, Mexico",2,Unclustered,unk,BBM.variant,Unclustered
1663,BBP,Flower of Centaurea alba,Flower,Spain,2,8. Mixed origin ,08.M,BBP.variant,8.Mixedorigin
2162,BBQ,"Forest soil, 30C",Soil,Hungary,2,4. Mediterranean oak ,04.M,BBQ.variant,4.Mediterraneanoak
2163,BBR,"Quercus faginea, 30C",Tree,"Castellon, Spain",2,Unclustered,unk,BBR.variant,Unclustered
2187,BBS,"Forest soil, 30C",Soil,Hungary,2,4. Mediterranean oak ,04.M,BBS.variant,4.Mediterraneanoak
2281,BBT,"Grapes, Picudo variety",Wine,"Valdevimbre, Spain",3,M3. Mosaic region 3,M3.M,BBT.variant,M3.Mosaicregion3
2282,BBV,"Grapes, Verdosilla variety",Wine,"Tuejar, Spain",2,1. Wine/European ,01.W,BBV.variant,1.Wine/European
2644,BCA,Human feces,"Human, clinical","Hospital Vall d'Hebron, Barcelona, Spain",2,1. Wine/European (subclade 3),01.W3,BCA.variant,1.Wine/European(subclade3)
HE001,BCB,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCB.variant,10.FrenchGuianahuman
HE004,BCC,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCC.variant,10.FrenchGuianahuman
HE005,BCD,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCD.variant,10.FrenchGuianahuman
HE006,BCE,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCE.variant,10.FrenchGuianahuman
HE007,BCF,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCF.variant,10.FrenchGuianahuman
HE008,BCG,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCG.variant,10.FrenchGuianahuman
HE009,BCH,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCH.variant,10.FrenchGuianahuman
HE010,BCI,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCI.variant,10.FrenchGuianahuman
HE011,BCK,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCK.variant,10.FrenchGuianahuman
HE012,BCL,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCL.variant,10.FrenchGuianahuman
HE013,BCM,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCM.variant,10.FrenchGuianahuman
HE015,BCN,Human feces,Human,French Guiana,1,10. French Guiana human ,10.F,BCN.variant,10.FrenchGuianahuman
HE016,BCP,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BCP.variant,10.FrenchGuianahuman
HE020,BCQ,Human,Human,French Guiana,2,10. French Guiana human ,10.F,BCQ.variant,10.FrenchGuianahuman
#23,BCR,Evolution canyon,Nature,Israel,4,8. Mixed origin ,08.M,BCR.variant,8.Mixedorigin
#03,BCS,Evolution canyon,Nature,Israel,2,8. Mixed origin ,08.M,BCS.variant,8.Mixedorigin
#05,BCT,Evolution canyon,Nature,Israel,2,8. Mixed origin ,08.M,BCT.variant,8.Mixedorigin
#33,BCV,Evolution canyon,Nature,Israel,2,M2. Mosaic region 2,M2.M,BCV.variant,M2.Mosaicregion2
#34,BDA,Evolution canyon,Nature,Israel,2,M2. Mosaic region 2,M2.M,BDA.variant,M2.Mosaicregion2
#35,BDB,Evolution canyon,Nature,Israel,2,M2. Mosaic region 2,M2.M,BDB.variant,M2.Mosaicregion2
#36,BDC,Evolution canyon,Nature,Israel,2,M3. Mosaic region 3,M3.M,BDC.variant,M3.Mosaicregion3
#13,BDD,Evolution canyon,Nature,Israel,2,M2. Mosaic region 2,M2.M,BDD.variant,M2.Mosaicregion2
#14,BDE,Evolution canyon,Nature,Israel,3,M2. Mosaic region 2,M2.M,BDE.variant,M2.Mosaicregion2
#57,BDF,Evolution canyon,Nature,Israel,2,M3. Mosaic region 3,M3.M,BDF.variant,M3.Mosaicregion3
#58,BDG,Evolution canyon,Nature,Israel,2,M3. Mosaic region 3,M3.M,BDG.variant,M3.Mosaicregion3
#59,BDH,Evolution canyon,Nature,Israel,2,M2. Mosaic region 2,M2.M,BDH.variant,M2.Mosaicregion2
#60,BDI,Evolution canyon,Nature,Israel,2,M2. Mosaic region 2,M2.M,BDI.variant,M2.Mosaicregion2
#63,BDK,Evolution canyon,Nature,Israel,2,M2. Mosaic region 2,M2.M,BDK.variant,M2.Mosaicregion2
CLQCA_10-386,BDL,Beer,Beer,Equador,2,8. Mixed origin ,08.M,BDL.variant,8.Mixedorigin
MAJ_A,BDM,Plant material,Nature,"Majunga, Madagascar",2,M3. Mosaic region 3,M3.M,BDM.variant,M3.Mosaicregion3
MAJ_G,BDN,Plant material,Nature,"Majunga, Madagascar",2,6. African beer ,06.A,BDN.variant,6.Africanbeer
CEY615,BDP,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BDP.variant,10.FrenchGuianahuman
CEY616,BDQ,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BDQ.variant,10.FrenchGuianahuman
CEY617,BDR,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BDR.variant,10.FrenchGuianahuman
CEY618,BDS,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BDS.variant,10.FrenchGuianahuman
CEY619,BDT,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BDT.variant,10.FrenchGuianahuman
CEY620,BDV,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BDV.variant,10.FrenchGuianahuman
CEY621,BEA,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BEA.variant,10.FrenchGuianahuman
CEY622,BEB,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BEB.variant,10.FrenchGuianahuman
CEY623,BEC,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BEC.variant,10.FrenchGuianahuman
CEY624,BED,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BED.variant,10.FrenchGuianahuman
CEY625,BEE,Human feces,Human,French Guiana,2,10. French Guiana human ,10.F,BEE.variant,10.FrenchGuianahuman
CLIB413,BEF,Fermenting rice,Fermentation,China,2,26. Asian fermentation ,26.A,BEF.variant,26.Asianfermentation
CLIB414,BEG,"High sugar foodstuff, Food",Industrial,Japan,2,Unclustered,unk,BEG.variant,Unclustered
CLIB415,BEH,"Fermenting rice (lao chao), Fermented beverage",Fermentation,Taiwan,2,26. Asian fermentation ,26.A,BEH.variant,26.Asianfermentation
CLIB650,BEI,"Bili Bili beer, brewery",Beer,Chad,3,6. African beer ,06.A,BEI.variant,6.Africanbeer
CLIB651,BEK,"Beer leaven for Bili Bili beer, brewery",Beer,Chad,4,6. African beer ,06.A,BEK.variant,6.Africanbeer
CLIB653,BEM,"Beer leaven for Bili Bili beer, brewery",Beer,Chad,4,6. African beer ,06.A,BEM.variant,6.Africanbeer
CLIB654,BEN,"Beer leaven for Bili Bili beer, brewery",Beer,Chad,3,6. African beer ,06.A,BEN.variant,6.Africanbeer
EXF-3387,BEP,Homemade apple vingar,Unknown,"Ljubljana, Slovenia",2,1. Wine/European (subclade 1),01.W1,BEP.variant,1.Wine/European(subclade1)
EXF-4126,BEQ,Dry wine-berry selection,Wine,"Ljubljana, Slovenia",2,1. Wine/European ,01.W,BEQ.variant,1.Wine/European
EXF-5042,BER,Straw broom sink cleaning after grape pressing,Wine,Slovenia,2,1. Wine/European ,01.W,BER.variant,1.Wine/European
EXF-5046,BES,Grapes,Wine,Slovenia,2,1. Wine/European ,01.W,BES.variant,1.Wine/European
EXF-5247,BET,Seawater in harbour,Water,"Koper, Slovenia",2,1. Wine/European ,01.W,BET.variant,1.Wine/European
EXF-5248,BEV,Seawater in harbour,Water,"Koper, Slovenia",2,1. Wine/European ,01.W,BEV.variant,1.Wine/European
EXF-5284,BFA,Soil below rotten apple,Soil,Slovenia,2,Unclustered,unk,BFA.variant,Unclustered
EXF-5287,BFB,Plum,Nature,Slovenia,2,1. Wine/European (subclade 1),01.W1,BFB.variant,1.Wine/European(subclade1)
EXF-5295,BFC,Kefyr,Fermentation,Slovenia,2,1. Wine/European ,01.W,BFC.variant,1.Wine/European
EXF-5297,BFD,Mashed pears,Fruit,Slovenia,2,1. Wine/European (subclade 1),01.W1,BFD.variant,1.Wine/European(subclade1)
EXF-5734,BFE,Spoiled gooseberry juice,Industrial,NA,4,8. Mixed origin ,08.M,BFE.variant,8.Mixedorigin
EXF-5869,BFG,Rotten wood,Nature,NA,4,8. Mixed origin ,08.M,BFG.variant,8.Mixedorigin
EXF-5871,BFH,Homemade cheese,Dairy,Slovenia,2,5. French dairy ,05.F,BFH.variant,5.Frenchdairy
EXF-6761,BFK,Quercus cerris,Tree,Slovenia,2,1. Wine/European ,01.W,BFK.variant,1.Wine/European
EXF-6780,BFL,Quercus petrea,Tree,Slovenia,2,Unclustered,unk,BFL.variant,Unclustered
EXF-6835,BFM,"Petrol station, oil contaminated asphalt",Industrial,Slovenia,4,8. Mixed origin ,08.M,BFM.variant,8.Mixedorigin
EXF-7145,BFN,Quercus robur,Tree,Serbia,2,5. French dairy ,05.F,BFN.variant,5.Frenchdairy
EXF-7197,BFP,Quercus sp.,Tree,Montenegro,2,4. Mediterranean oak ,04.M,BFP.variant,4.Mediterraneanoak
CLIB484,BFQ,"Cider brewery, industrial raw juice",Cider,"Brittany, France",2,1. Wine/European ,01.W,BFQ.variant,1.Wine/European
